Student Name,Major,Procrastination Activity,Procrastination Hours per Day,Assignment Due in (Days),Stress Level
Paul Howard,Engineering,Binge-watching Netflix,11,4,6
James Garcia,Business,Online Shopping,8,4,5
Margaret Lewis,Business,Scrolling TikTok,9,1,8
Kimberly Young,Psychology,Gaming,8,4,9
Sonya Carter,Marketing,Online Shopping,5,3,6
Robert Stephenson,Marketing,Binge-watching Netflix,11,6,4
Sarah Keller,Engineering,Scrolling TikTok,9,6,9
Brenda Wheeler,Art History,Online Shopping,8,7,1
Taylor Macdonald,Marketing,Online Shopping,5,3,3
Ronald Taylor,Computer Science,Binge-watching Netflix,5,3,3
Alexander Alexander,Computer Science,Binge-watching Netflix,10,5,4
Melissa Spencer,Marketing,Binge-watching Netflix,9,3,3
Rebecca Hernandez,Computer Science,Gaming,1,6,8
David Torres,Engineering,Taking a Nap,11,3,5
Stacy Gonzalez,Psychology,Binge-watching Netflix,12,3,2
Brenda Hoffman,Computer Science,Binge-watching Netflix,8,5,9
Anne Zavala,Psychology,Taking a Nap,4,6,8
Sheila Carroll,Computer Science,Scrolling TikTok,9,7,3
Bryan Love,Computer Science,Online Shopping,9,5,5
Joseph Bridges,Computer Science,Binge-watching Netflix,11,5,9
Jason Johnson,Marketing,Gaming,2,2,7
Hannah Brennan,Business,Taking a Nap,3,3,3
Natasha Kline,Marketing,Binge-watching Netflix,4,5,6
Carly Castillo,Computer Science,Online Shopping,6,5,1
Nathan Duncan,Engineering,Online Shopping,6,6,6
Jenna Hall,Computer Science,Gaming,8,1,7
Deanna Hayes,Computer Science,Online Shopping,8,3,3
Mrs. Chelsea Harrington DVM,Computer Science,Binge-watching Netflix,2,7,9
Nathan Rubio,Computer Science,Scrolling TikTok,6,5,7
Ronald Rodriguez,Computer Science,Online Shopping,3,5,7
Timothy Padilla,Engineering,Scrolling TikTok,7,7,8
Stephanie Short,Computer Science,Gaming,9,3,4
James Gordon,Art History,Binge-watching Netflix,11,3,9
Cassandra Ward,Engineering,Taking a Nap,6,7,9
Erik Hernandez,Business,Online Shopping,7,1,1
Devin Turner,Psychology,Gaming,7,2,4
Zachary Newton,Engineering,Scrolling TikTok,5,7,3
Debra Leonard,Engineering,Binge-watching Netflix,8,6,1
Sarah Ingram,Psychology,Scrolling TikTok,1,7,3
Sylvia Wolfe,Computer Science,Gaming,7,4,1
Roberta Gallegos DVM,Marketing,Online Shopping,6,1,2
Kristina Atkins,Marketing,Gaming,11,3,9
Sandra Cruz,Psychology,Gaming,3,6,10
Cameron Hutchinson,Computer Science,Taking a Nap,1,5,5
Sarah Fuentes,Art History,Scrolling TikTok,1,5,1
Krystal Thomas,Marketing,Scrolling TikTok,5,7,4
Paul Murphy,Engineering,Scrolling TikTok,10,5,1
Lisa Smith,Psychology,Scrolling TikTok,12,2,4
Dr. Robert Cross,Computer Science,Scrolling TikTok,7,4,8
Andrew Jordan,Business,Scrolling TikTok,11,1,1
Trevor Wright,Computer Science,Binge-watching Netflix,11,3,8
Shannon Harris,Art History,Binge-watching Netflix,11,3,7
Theresa Miller,Psychology,Gaming,4,6,5
Amy Moore,Business,Online Shopping,4,3,7
Mr. Eric Wall,Business,Binge-watching Netflix,6,2,8
Phillip Hensley,Marketing,Online Shopping,3,2,2
Vanessa Carter,Engineering,Scrolling TikTok,4,3,5
Kathleen Vance,Art History,Taking a Nap,10,2,4
Joseph Hernandez,Psychology,Scrolling TikTok,5,2,6
David Burgess Jr.,Business,Scrolling TikTok,9,3,2
Heidi Knapp,Psychology,Online Shopping,7,7,6
Michelle Miles,Engineering,Online Shopping,4,5,4
Mrs. Amber Trevino,Art History,Taking a Nap,12,5,7
Aaron Ball,Computer Science,Binge-watching Netflix,7,7,1
Christine Waller,Psychology,Scrolling TikTok,12,5,9
Robert Hamilton,Art History,Binge-watching Netflix,2,3,10
Paul Brown,Business,Online Shopping,8,3,5
Sharon Williams,Psychology,Online Shopping,5,3,8
Robert Lara,Art History,Online Shopping,11,3,1
Mary Faulkner,Marketing,Gaming,3,1,5
Alyssa Davis,Psychology,Binge-watching Netflix,1,4,3
Paul Gallagher,Art History,Online Shopping,3,3,3
Julie Aguirre,Engineering,Gaming,7,6,6
Michael Aguirre,Engineering,Scrolling TikTok,1,6,10
Dr. Claudia Baker MD,Marketing,Scrolling TikTok,7,5,2
Amy Case,Marketing,Binge-watching Netflix,11,5,3
Christine Herrera,Engineering,Scrolling TikTok,2,5,3
Casey Smith,Computer Science,Binge-watching Netflix,4,4,1
James Morris,Psychology,Taking a Nap,1,4,6
Ashley Pruitt,Engineering,Scrolling TikTok,6,4,6
Patricia Marshall,Business,Online Shopping,9,6,2
Michelle Norris,Psychology,Gaming,9,7,5
Tommy Shannon,Engineering,Binge-watching Netflix,7,6,2
Danny Moore,Art History,Scrolling TikTok,8,3,6
Melissa Cook,Engineering,Online Shopping,1,4,3
April Cervantes,Computer Science,Gaming,7,5,3
Christopher Phelps,Computer Science,Scrolling TikTok,6,5,6
Daryl Johnston,Psychology,Gaming,8,2,8
Edwin Mason,Marketing,Taking a Nap,1,7,1
Anthony Sandoval,Psychology,Scrolling TikTok,4,3,8
Joshua Fisher,Business,Scrolling TikTok,5,7,9
Ronnie Anderson,Marketing,Online Shopping,3,2,9
Michelle Cordova,Marketing,Taking a Nap,8,4,6
George Potter,Business,Binge-watching Netflix,3,3,5
Jessica Rogers,Computer Science,Gaming,10,7,6
Joshua Lewis,Art History,Gaming,1,2,5
Janice Thompson,Engineering,Taking a Nap,5,5,10
Sydney Fuller,Engineering,Taking a Nap,4,1,6
James Bell,Business,Gaming,5,3,1
Lisa Kramer MD,Computer Science,Gaming,4,4,5
Julie Gibson,Business,Online Shopping,3,6,4
Jacqueline Roberts,Art History,Binge-watching Netflix,7,3,2
Allison Taylor,Engineering,Scrolling TikTok,1,7,9
Cody Robinson,Engineering,Binge-watching Netflix,7,3,10
Catherine Marshall,Business,Scrolling TikTok,5,1,2
Janet Mathews,Business,Taking a Nap,5,5,2
Erin Patterson,Marketing,Binge-watching Netflix,2,5,4
Robert Vasquez,Marketing,Scrolling TikTok,1,5,9
David Sexton,Engineering,Online Shopping,8,1,8
Timothy Santana,Business,Online Shopping,3,5,1
Sherry Chandler,Business,Gaming,4,2,1
Dawn Spears,Psychology,Online Shopping,5,4,2
Roy Dickerson,Computer Science,Taking a Nap,2,1,1
Ann Murphy,Engineering,Online Shopping,7,7,10
Jessica Gould,Business,Gaming,2,1,6
Linda Williams,Engineering,Online Shopping,1,7,9
Paul Gordon,Psychology,Scrolling TikTok,3,3,2
Todd Kennedy,Psychology,Scrolling TikTok,3,6,9
Benjamin Spence,Engineering,Taking a Nap,9,2,9
Brittany Francis,Engineering,Gaming,1,7,5
Kelly Benjamin,Engineering,Taking a Nap,10,1,9
Felicia Nelson,Psychology,Binge-watching Netflix,3,6,1
Jason Wright,Computer Science,Online Shopping,3,6,6
Tricia Williams,Art History,Scrolling TikTok,5,6,2
Jill Taylor,Computer Science,Scrolling TikTok,1,7,10
Kathryn Smith,Business,Online Shopping,12,6,3
Amber Nichols,Psychology,Binge-watching Netflix,9,5,4
Lawrence Mcfarland,Psychology,Gaming,12,1,5
Jessica Price,Art History,Taking a Nap,1,1,5
Thomas Green,Marketing,Taking a Nap,12,4,3
Charles Paul,Art History,Binge-watching Netflix,10,2,2
Laura Herrera,Computer Science,Gaming,4,1,6
Ms. Breanna Moss,Art History,Taking a Nap,8,4,5
Kristine Navarro,Art History,Scrolling TikTok,12,2,9
Aaron Monroe,Art History,Binge-watching Netflix,12,5,3
Fernando Morales,Psychology,Binge-watching Netflix,5,4,10
James Rogers,Marketing,Scrolling TikTok,7,1,5
John Rivera,Marketing,Online Shopping,9,3,4
Kelsey Li,Engineering,Online Shopping,8,7,6
Jessica Flynn,Marketing,Binge-watching Netflix,2,7,5
Walter Gutierrez,Marketing,Scrolling TikTok,12,5,4
Dr. Thomas Perry,Business,Taking a Nap,1,5,1
Donna Leach,Marketing,Gaming,6,4,3
Kelly Jordan,Computer Science,Binge-watching Netflix,8,5,10
Amanda Wilson,Business,Scrolling TikTok,6,6,2
Rachel Jenkins,Computer Science,Gaming,1,4,7
Jennifer Munoz,Art History,Scrolling TikTok,7,1,10
Sherry Griffin,Business,Gaming,10,4,10
William Newton,Engineering,Binge-watching Netflix,7,5,10
Vicki Davis,Marketing,Taking a Nap,10,1,5
Nancy Williams,Business,Gaming,1,5,10
Amanda Herrera,Marketing,Online Shopping,2,7,5
Eugene Simmons,Computer Science,Taking a Nap,12,3,6
Stacey Nunez,Computer Science,Scrolling TikTok,12,5,3
Christopher Mason,Engineering,Binge-watching Netflix,10,2,8
Susan Woodward,Marketing,Online Shopping,4,2,5
Taylor Oconnell,Computer Science,Taking a Nap,7,5,2
Denise Garza,Psychology,Taking a Nap,3,3,2
Robert Thomas,Psychology,Binge-watching Netflix,8,1,6
Michelle Mcdaniel,Psychology,Online Shopping,7,5,8
Tara Dixon,Computer Science,Online Shopping,8,5,2
Kenneth Perez,Psychology,Scrolling TikTok,10,6,1
Austin Mclean,Engineering,Online Shopping,1,4,5
Douglas Hudson,Art History,Taking a Nap,7,3,4
Jason Caldwell,Engineering,Gaming,11,3,9
Deanna Acosta,Marketing,Binge-watching Netflix,4,4,10
Jennifer Guzman,Art History,Gaming,12,1,6
Zachary Hill,Business,Binge-watching Netflix,7,5,4
Tyler Ryan,Art History,Taking a Nap,10,3,2
Tiffany Moore,Psychology,Gaming,7,2,1
Lori Yates,Engineering,Binge-watching Netflix,10,4,10
Erin Schmitt,Engineering,Binge-watching Netflix,2,7,2
Richard Edwards,Computer Science,Scrolling TikTok,3,2,7
Holly Reyes,Psychology,Scrolling TikTok,6,4,5
Kevin Werner,Marketing,Online Shopping,7,1,8
Brian Evans,Art History,Gaming,6,5,5
Rachel Thomas,Psychology,Gaming,3,4,8
Taylor Castro,Psychology,Online Shopping,5,4,8
John Hood,Marketing,Taking a Nap,1,4,2
Jeremy Johnson,Art History,Online Shopping,12,5,2
April Bender,Engineering,Binge-watching Netflix,12,2,2
Michael Garcia,Business,Scrolling TikTok,8,4,2
Collin Khan,Art History,Taking a Nap,12,6,9
Christopher Vincent,Marketing,Gaming,11,1,6
Kelsey Blevins,Engineering,Online Shopping,8,3,10
Mr. Jonathan Turner,Marketing,Gaming,6,7,2
Phillip Lucas,Psychology,Online Shopping,3,2,2
Olivia Nelson,Psychology,Gaming,8,7,6
Jeffery Serrano,Business,Gaming,3,1,7
Michael Castro,Business,Taking a Nap,4,3,2
James Schwartz,Business,Gaming,1,2,3
Barbara Hicks,Business,Gaming,9,4,3
Dennis Harris,Art History,Gaming,11,1,7
Diana Wilson,Computer Science,Binge-watching Netflix,2,3,1
James Rodriguez,Psychology,Taking a Nap,9,5,8
Kim Pierce,Computer Science,Online Shopping,12,2,9
Gina Navarro,Psychology,Taking a Nap,8,6,5
Kristen Khan,Engineering,Scrolling TikTok,8,2,4
Michael Trujillo,Marketing,Gaming,1,2,1
Valerie Lucas,Psychology,Scrolling TikTok,12,3,5
Jessica Holt,Art History,Scrolling TikTok,11,6,5
Arthur Barnes,Marketing,Gaming,2,2,2
Monica Evans,Marketing,Scrolling TikTok,10,7,8
Joseph Reed MD,Engineering,Gaming,10,1,7
Jennifer Robinson,Psychology,Binge-watching Netflix,1,5,8
Jennifer Stewart,Marketing,Online Shopping,8,7,7
Tim Moore,Engineering,Taking a Nap,2,3,2
Mr. Martin Nguyen PhD,Computer Science,Taking a Nap,12,5,6
Tyler Hester,Psychology,Scrolling TikTok,4,1,6
Daniel Irwin,Psychology,Taking a Nap,10,4,7
Keith Jennings,Psychology,Online Shopping,10,3,1
Stephen Johnston,Marketing,Binge-watching Netflix,1,7,2
Peter Caldwell,Computer Science,Online Shopping,10,2,6
Jared Navarro,Marketing,Online Shopping,10,2,4
Robert Simpson,Marketing,Scrolling TikTok,3,4,4
Kathy Jones,Business,Gaming,4,2,10
Carlos Rios,Computer Science,Online Shopping,7,7,2
Andrea Mckay,Business,Gaming,6,5,4
Jon Black,Art History,Taking a Nap,9,3,3
Olivia Gonzalez,Computer Science,Gaming,10,5,10
Tina Garcia,Engineering,Taking a Nap,5,5,9
Joseph Rosales PhD,Business,Online Shopping,7,5,6
Rebecca Johnson,Psychology,Binge-watching Netflix,12,4,4
Jennifer Howard,Engineering,Gaming,8,2,2
Robert Hensley,Marketing,Taking a Nap,4,3,9
Jacqueline Berry,Marketing,Taking a Nap,11,3,3
Xavier Morales,Business,Binge-watching Netflix,9,7,7
Ashley Wright,Art History,Online Shopping,6,4,7
Wendy Short,Business,Taking a Nap,11,4,6
Karen Wright,Engineering,Online Shopping,4,7,5
Thomas Cain,Psychology,Gaming,1,3,2
Lee Beltran,Marketing,Online Shopping,8,5,4
Bradley Kennedy,Art History,Online Shopping,11,1,1
Lindsey Wagner,Business,Binge-watching Netflix,6,4,8
William Collins,Engineering,Online Shopping,8,4,8
Zachary Johnson,Business,Binge-watching Netflix,3,5,1
Lauren Walton,Computer Science,Taking a Nap,8,4,9
Adam Brown,Business,Online Shopping,1,7,2
Brian Wyatt,Psychology,Binge-watching Netflix,3,2,8
Sara Jennings,Psychology,Binge-watching Netflix,11,2,5
John Fuentes,Psychology,Taking a Nap,7,2,6
Alexis Gross,Marketing,Taking a Nap,10,6,9
Brittany Ochoa,Computer Science,Gaming,6,7,2
Rachel Jones,Art History,Binge-watching Netflix,7,1,4
Michele Green,Business,Binge-watching Netflix,6,4,2
Andrea Griffin,Art History,Taking a Nap,12,7,2
Jennifer Rose,Art History,Binge-watching Netflix,10,1,3
Shannon Robinson,Computer Science,Online Shopping,8,4,6
Steve Garcia,Marketing,Gaming,2,2,4
Thomas Glover,Engineering,Scrolling TikTok,9,2,4
Megan Bell,Marketing,Binge-watching Netflix,4,2,4
Adrian George,Engineering,Gaming,11,4,4
Robert Galvan,Computer Science,Binge-watching Netflix,4,3,3
Jeffery Bishop,Marketing,Scrolling TikTok,9,1,5
Rachael Norris,Art History,Taking a Nap,3,6,10
Brandy Velazquez,Psychology,Online Shopping,9,5,1
Paul James,Computer Science,Binge-watching Netflix,5,1,10
Mark Parker,Computer Science,Online Shopping,7,6,1
Ricky Davis,Psychology,Online Shopping,3,2,8
Julia Yoder,Marketing,Binge-watching Netflix,7,5,10
Jamie Patterson,Psychology,Scrolling TikTok,6,5,1
Diane Casey,Computer Science,Online Shopping,6,2,8
Jacob Hall,Engineering,Online Shopping,10,1,5
Jennifer Taylor,Business,Scrolling TikTok,7,6,2
Laura Gonzalez,Business,Online Shopping,3,6,2
Kenneth Hamilton,Psychology,Online Shopping,8,1,10
James Barnett,Art History,Online Shopping,10,1,9
Andrew Smith,Marketing,Scrolling TikTok,5,4,2
Deanna Ortiz,Marketing,Online Shopping,6,6,5
Margaret Murray,Art History,Taking a Nap,5,4,3
Rhonda Hutchinson,Psychology,Taking a Nap,12,7,7
Rhonda Harper,Art History,Gaming,1,2,3
Eric Leblanc,Business,Binge-watching Netflix,2,7,1
Ryan Garrett,Psychology,Gaming,12,3,4
Danielle Webb,Psychology,Online Shopping,1,3,1
Ebony Brown,Engineering,Binge-watching Netflix,2,1,1
Alexis Berry,Art History,Online Shopping,10,1,2
James Dyer,Engineering,Scrolling TikTok,1,5,2
Heather Pierce,Marketing,Binge-watching Netflix,12,5,5
Audrey Franklin,Art History,Scrolling TikTok,12,7,8
Donna Caldwell,Marketing,Binge-watching Netflix,6,4,10
Patricia Maldonado,Business,Online Shopping,8,2,1
Michelle Maynard,Marketing,Taking a Nap,10,4,5
Matthew Brewer,Art History,Binge-watching Netflix,5,1,4
Billy Wright,Computer Science,Scrolling TikTok,3,6,10
Charles Stevens,Psychology,Scrolling TikTok,6,1,6
Victoria Fritz,Art History,Taking a Nap,1,1,6
Ashley Erickson,Business,Scrolling TikTok,2,7,3
Teresa Levine,Marketing,Binge-watching Netflix,12,2,9
Anne Cummings,Psychology,Binge-watching Netflix,2,1,7
Sarah Farrell,Psychology,Gaming,10,2,1
Julia Bryant,Business,Gaming,1,5,10
Carolyn Cunningham,Marketing,Online Shopping,2,4,1
Ariana Smith,Art History,Taking a Nap,8,6,5
Carl Jones,Marketing,Binge-watching Netflix,7,1,2
Larry Gilbert,Psychology,Binge-watching Netflix,12,7,6
Jennifer Montoya,Business,Online Shopping,5,5,3
Brenda Cline,Marketing,Gaming,4,2,7
Brian Price,Business,Scrolling TikTok,11,6,5
Bryan Livingston,Art History,Scrolling TikTok,1,7,8
Jordan Garcia,Engineering,Online Shopping,2,1,7
Anthony Norris,Art History,Gaming,9,1,1
Troy Brown,Engineering,Gaming,10,3,5
Blake Hines,Marketing,Online Shopping,11,3,5
Jennifer Williams,Art History,Binge-watching Netflix,3,4,7
Matthew Carpenter,Engineering,Binge-watching Netflix,5,5,8
Charles Phillips,Engineering,Binge-watching Netflix,8,5,10
Tammy Williams,Art History,Online Shopping,10,1,2
Jesse Jackson,Computer Science,Binge-watching Netflix,10,4,2
Kyle Sullivan,Computer Science,Scrolling TikTok,1,1,7
Marissa Decker,Computer Science,Scrolling TikTok,9,7,2
David Smith,Business,Taking a Nap,4,1,5
Charles Moon,Marketing,Gaming,5,3,6
Laura Dodson,Engineering,Gaming,3,6,1
Deanna Nash,Business,Binge-watching Netflix,4,1,9
Alicia Young,Computer Science,Binge-watching Netflix,9,4,8
Kelly Pollard,Business,Taking a Nap,2,4,1
Chase Brown,Psychology,Binge-watching Netflix,9,2,9
Charles Romero,Psychology,Online Shopping,7,5,9
Brooke Mills DDS,Computer Science,Scrolling TikTok,2,4,5
Ryan White,Art History,Gaming,3,2,1
Christopher Leonard,Computer Science,Taking a Nap,11,6,4
Stephanie Holland,Business,Gaming,12,1,4
Erica Gilbert,Psychology,Online Shopping,12,1,10
John Fletcher,Engineering,Taking a Nap,11,6,9
Jeremy Hicks,Computer Science,Binge-watching Netflix,8,5,3
Tanya Anderson,Business,Gaming,7,1,9
Rebecca Roberts,Engineering,Scrolling TikTok,4,1,1
Kayla Obrien,Marketing,Binge-watching Netflix,11,3,1
Samantha Roach,Art History,Taking a Nap,5,4,1
Caleb Ferguson,Psychology,Gaming,9,5,4
Daniel Leach,Art History,Binge-watching Netflix,1,7,5
Allison Davis,Engineering,Online Shopping,6,2,4
Erica Cowan,Psychology,Scrolling TikTok,4,5,4
Derrick Cobb,Marketing,Gaming,5,5,3
Jacqueline Hodges,Psychology,Taking a Nap,4,5,1
Patrick Flores,Business,Gaming,12,7,4
Amanda Thompson,Engineering,Taking a Nap,1,1,1
Daniel James,Marketing,Taking a Nap,7,7,2
Katie Nicholson,Psychology,Gaming,9,6,10
Nicholas Rhodes,Marketing,Gaming,2,1,3
Rose Lambert,Computer Science,Online Shopping,9,2,9
Gabriel Cook,Business,Binge-watching Netflix,7,1,8
Nicholas Marshall,Marketing,Scrolling TikTok,7,2,5
Jessica Taylor,Psychology,Taking a Nap,9,5,3
Kathleen Mcdaniel,Computer Science,Online Shopping,10,2,2
Jack Flores,Computer Science,Taking a Nap,10,4,9
Latoya Powell,Business,Taking a Nap,1,2,10
Courtney Graham,Psychology,Online Shopping,2,1,4
Regina Henderson,Computer Science,Scrolling TikTok,7,1,4
Lisa Long,Business,Gaming,6,1,10
Veronica Tucker,Engineering,Taking a Nap,2,4,2
Samantha Smith,Engineering,Taking a Nap,12,1,9
Dennis Copeland,Art History,Binge-watching Netflix,4,7,4
David Griffith,Engineering,Binge-watching Netflix,2,5,4
Cynthia Hudson,Psychology,Online Shopping,8,2,5
Jessica Kennedy,Business,Taking a Nap,5,7,5
James Clay,Marketing,Taking a Nap,12,5,3
Gina Coleman,Computer Science,Scrolling TikTok,7,4,2
Duane Clay MD,Art History,Scrolling TikTok,2,5,10
Holly Hubbard,Marketing,Online Shopping,8,5,8
Jennifer Green,Psychology,Scrolling TikTok,7,7,1
Donald Goodman,Psychology,Scrolling TikTok,7,2,7
Nathan Stevens,Engineering,Gaming,5,2,4
Gabriel Davis,Marketing,Gaming,3,4,5
Teresa Allen,Psychology,Scrolling TikTok,8,7,2
Jessica Molina,Business,Taking a Nap,4,5,8
Julie Johnson,Psychology,Scrolling TikTok,4,7,5
Beth Lane,Psychology,Taking a Nap,1,3,1
Marcus Rodriguez,Psychology,Online Shopping,7,6,7
Lisa Mathews,Engineering,Binge-watching Netflix,8,7,4
Regina Rivera,Art History,Online Shopping,7,1,9
